url	primary language	files	sloc
https://github.com/manuelkiessling/nodebeginner.org	HTML	47	25217
https://github.com/purescript/purescript	Haskell	212	25977
https://github.com/ryanb/ruby-warrior	Ruby	108	3462
https://github.com/doublespeakgames/adarkroom	JavaScript	90	13649
https://github.com/spine/spine	JavaScript	32	6559
https://github.com/nathansmith/960-Grid-System	CSS	32	5046
https://github.com/scottschiller/SoundManager2	JavaScript	111	45332
https://github.com/Soundnode/soundnode-app	JavaScript	104	6540
https://github.com/AlexNisnevich/untrusted	JavaScript	475	75043
https://github.com/audiokit/AudioKit	C++	1330	96184
https://github.com/mozilla/Fira	CSS	17	990
https://github.com/snowplow/snowplow	Scala	480	41952
https://github.com/cisco/ChezScheme	Scheme	104	30890
https://github.com/Miserlou/Zappa	Python	418	28294
https://github.com/sparkle-project/Sparkle	Objective-C	152	11685
https://github.com/defunkt/dotjs	Ruby	6	110
https://github.com/Khan/tota11y	JavaScript	52	11032
https://github.com/skywinder/github-changelog-generator	Ruby	61	12404
https://github.com/exercism/exercism.io	Ruby	444	36263
https://github.com/twitter-archive/flockdb	Scala	79	6827
https://github.com/mozbrick/brick	JavaScript	49	12909
https://github.com/Ranks/emojione	HTML	101	21844
https://github.com/AliSoftware/OHHTTPStubs	Objective-C	111	10223
https://github.com/padrino/padrino-framework	Ruby	444	34521
https://github.com/rtyley/bfg-repo-cleaner	Scala	71	2223
https://github.com/wellcaffeinated/PhysicsJS	JavaScript	137	100937
https://github.com/reactiveui/ReactiveUI	C#	337	29869
https://github.com/johnmyleswhite/ML_for_Hackers	R	29	3408
https://github.com/apache/couchdb	JavaScript	136	16219
https://github.com/orientechnologies/orientdb	Java	2955	447994
https://github.com/jipegit/OSXAuditor	JavaScript	216	32838
https://github.com/cefsharp/CefSharp	C#	482	22905
https://github.com/NervanaSystems/neon	Python	381	90176
https://github.com/BloombergMedia/whatiscode	JavaScript	111	14876
https://github.com/python/cpython-mirror	Python	2984	1133996
https://github.com/beefproject/beef	JavaScript	1340	104113
https://github.com/chocolatey/chocolatey	PowerShell	14	521
https://github.com/freebsd/freebsd	C	51331	15654347
https://github.com/play/play	Ruby	73	3840
https://github.com/tmux-plugins/tpm	Shell	30	1113
https://github.com/basho/riak	Shell	15	5714
https://github.com/sstephenson/sprockets		3	3
https://github.com/turbulenz/turbulenz_engine	TypeScript	1619	306481
https://github.com/Frege/frege	Frege	377	93056
https://github.com/brigade/scss-lint	Ruby	200	21802
https://github.com/google/roboto	Python	104	14607
https://github.com/peek/peek	Ruby	50	1255
https://github.com/HospitalRun/hospitalrun-frontend	JavaScript	741	63169
https://github.com/btford/write-good	JavaScript	12	503
https://github.com/lelylan/betterspecs	HTML	30	8601
https://github.com/github/gemoji	Ruby	19	19078
https://github.com/openshift/origin	Go	11842	2820222
https://github.com/patchthecode/JTAppleCalendar	Swift	56	4126
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector	Java	197	22221
https://github.com/octokit/octokit.rb	Ruby	640	10731
https://github.com/Zulko/moviepy	Python	196	8421
https://github.com/GarageGames/Torque3D	C++	6128	1365444
https://github.com/playcanvas/engine	JavaScript	489	46267
https://github.com/OptiKey/OptiKey	C#	304	105798
https://github.com/Boris-Em/BEMSimpleLineGraph	Objective-C	30	2727
https://github.com/somerandomdude/Iconic	Python	35	5356
https://github.com/eddiezane/lunchy	Ruby	6	245
https://github.com/aspnetboilerplate/aspnetboilerplate	C#	1555	82134
https://github.com/cuckoosandbox/cuckoo	Python	514	38349
https://github.com/jankotek/mapdb	Java	280	70224
https://github.com/PMSI-AlignAlytics/dimple	JavaScript	397	85914
https://github.com/cloudius-systems/osv	C	2171	373109
https://github.com/lambci/lambci	JavaScript	393	87504
https://github.com/awslabs/chalice	Python	56	7475
https://github.com/samizdatco/arbor	JavaScript	107	8252
https://github.com/hoodiehq/hoodie	JavaScript	84	4652
https://github.com/craftyjs/Crafty	JavaScript	138	27293
https://github.com/CreateJS/SoundJS	JavaScript	157	21776
https://github.com/cameronmcefee/plax	JavaScript	9	610
https://github.com/ValveSoftware/openvr	C++	219	87918
https://github.com/jakubroztocil/cloudtunes	CoffeeScript	186	21685
https://github.com/NLog/NLog	C#	722	78252
https://github.com/googlevr/gvr-android-sdk	C++	63	6574
https://github.com/ponylang/ponyc	C++	416	89732
https://github.com/cocos2d/cocos2d-html5	JavaScript	349	96539
https://github.com/h2oai/h2o-2	Java	2410	285161
https://github.com/dahlbyk/posh-git	PowerShell	10	568
https://github.com/PyCQA/pycodestyle	Python	55	4550
https://github.com/rust-lang/cargo	Rust	204	51097
https://github.com/quicksilver/Quicksilver	Objective-C	576	55317
https://github.com/mudcube/MIDI.js	JavaScript	39	9425
https://github.com/Gamua/Starling-Framework	ActionScript	208	25003
https://github.com/AnalyticalGraphicsInc/cesium	JavaScript	2961	476172
https://github.com/gameplay3d/GamePlay	C++	755	224927
https://github.com/klange/toaruos	C	382	64358
https://github.com/openstack/openstack		3	16
https://github.com/OctoLinker/browser-extension	JavaScript	102	7461
https://github.com/samaaron/sonic-pi	Ruby	4765	586304
https://github.com/csscomb/csscomb.js	JavaScript	529	10904
https://github.com/Netflix/Scumblr	Ruby	223	19855
https://github.com/timburks/nu	Objective-C	37	14124
https://github.com/Quick/Nimble	Swift	142	9585
https://github.com/Glimpse/Glimpse	C#	1183	125051
https://github.com/MovingBlocks/Terasology	Java	2111	157174
https://github.com/google/grr	Python	1512	215394
https://github.com/okfn/recline	JavaScript	180	80246
https://github.com/twostraws/HackingWithSwift	Swift	240	15298
