url	primary language	stars	forks
https://github.com/jipegit/OSXAuditor	JavaScript	2863	234
https://github.com/cefsharp/CefSharp	C#	2862	1209
https://github.com/NervanaSystems/neon	Python	2849	629
https://github.com/BloombergMedia/whatiscode	JavaScript	2822	231
https://github.com/python/cpython-mirror	Python	2818	871
https://github.com/beefproject/beef	JavaScript	2807	636
https://github.com/chocolatey/chocolatey	PowerShell	2786	326
https://github.com/freebsd/freebsd	C	2785	1103
https://github.com/play/play	Ruby	2737	391
https://github.com/tmux-plugins/tpm	Shell	2729	91
https://github.com/basho/riak	Shell	2721	426
https://github.com/sstephenson/sprockets		2715	623
https://github.com/turbulenz/turbulenz_engine	TypeScript	2712	413
https://github.com/Frege/frege	Frege	2698	116
https://github.com/brigade/scss-lint	Ruby	2680	406
https://github.com/google/roboto	Python	2656	223
https://github.com/peek/peek	Ruby	2632	129
https://github.com/HospitalRun/hospitalrun-frontend	JavaScript	2629	655
https://github.com/btford/write-good	JavaScript	2612	123
https://github.com/lelylan/betterspecs	HTML	2608	246
https://github.com/github/gemoji	Ruby	2594	386
https://github.com/openshift/origin	Go	2588	1728
https://github.com/patchthecode/JTAppleCalendar	Swift	2579	227
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector	Java	2576	520
https://github.com/octokit/octokit.rb	Ruby	2570	710
https://github.com/Zulko/moviepy	Python	2569	418
https://github.com/GarageGames/Torque3D	C++	2559	1150
https://github.com/playcanvas/engine	JavaScript	2536	481
https://github.com/OptiKey/OptiKey	C#	2536	316
https://github.com/Boris-Em/BEMSimpleLineGraph	Objective-C	2490	386
https://github.com/somerandomdude/Iconic	Python	2456	428
https://github.com/eddiezane/lunchy	Ruby	2446	109
https://github.com/aspnetboilerplate/aspnetboilerplate	C#	2444	1309
https://github.com/cuckoosandbox/cuckoo	Python	2436	909
https://github.com/jankotek/mapdb	Java	2433	571
https://github.com/PMSI-AlignAlytics/dimple	JavaScript	2421	471
https://github.com/cloudius-systems/osv	C	2398	452
https://github.com/lambci/lambci	JavaScript	2398	95
https://github.com/awslabs/chalice	Python	2368	166
https://github.com/samizdatco/arbor	JavaScript	2356	581
https://github.com/hoodiehq/hoodie	JavaScript	2336	206
https://github.com/craftyjs/Crafty	JavaScript	2320	490
https://github.com/CreateJS/SoundJS	JavaScript	2308	605
https://github.com/cameronmcefee/plax	JavaScript	2307	231
https://github.com/ValveSoftware/openvr	C++	2289	598
https://github.com/jakubroztocil/cloudtunes	CoffeeScript	2252	207
https://github.com/NLog/NLog	C#	2219	755
https://github.com/googlevr/gvr-android-sdk	C++	2208	1012
https://github.com/ponylang/ponyc	C++	2193	177
https://github.com/cocos2d/cocos2d-html5	JavaScript	2169	840
https://github.com/h2oai/h2o-2	Java	2159	578
https://github.com/dahlbyk/posh-git	PowerShell	2155	477
https://github.com/PyCQA/pycodestyle	Python	2146	435
https://github.com/rust-lang/cargo	Rust	2134	530
https://github.com/quicksilver/Quicksilver	Objective-C	2132	254
